de	-e/-dan, -den; ...nin
ella	o (kadın)
que	ki; -en/-an; ne
el	belirli artikel: el
a	-e/-a; -e doğru
y	ve
él	o (erkek)
ser	olmak (kalıcı özellik/kimlik)
en	-de/-da; içinde
estar	olmak/bulunmak (durum/konum)
uno	bir
haber	olmak/var olmak; yardımcı fiil
yo	ben
por	için; tarafından; boyunca
tener	sahip olmak
se	kendisi/kendini; dönüşlülük zamiri
tú	sen
ir	gitmek
hacer	yapmak
con	ile
qué	ne
suyo	onun/sizin/onlarınki
poder	yapabilmek; güç
para	için; -e doğru
del	-de/-dan + el; ...nin
decir	söylemek
este	bu
todo	tüm; her şey
mío	benimki
pero	ama
si	eğer
querer	istemek; sevmek
al	a + el; -e/-a
sí	evet; kendi
como	gibi; nasıl
ése	şu/o
bien	iyi; iyi bir şekilde
más	daha; daha fazla
ver	görmek
tuyo	seninki
saber	bilmek
ese	şu/o
aquí	burada
éste	bu (zamir)
nosotros	biz
creer	inanmak; sanmak
ya	artık; zaten
o	veya
dar	vermek
deber	zorunda olmak; borçlu olmak
mucho	çok; çok fazla
otro	başka; diğer
así	böyle; bu şekilde
ahora	şimdi
vez	kez; defa
cuando	-ne zaman; iken
algo	bir şey
dejar	bırakmak; izin vermek
hablar	konuşmak
bueno	iyi
pasar	geçmek; olmak
nada	hiçbir şey
cómo	nasıl
solo	yalnız; sadece
sentir	hissetmek; üzülmek
pensar	düşünmek
porque	çünkü
esperar	beklemek; umut etmek
usted	siz (resmî tekil)
día	gün
año	yıl
padre	baba
venir	gelmek
nuestro	bizim
gracias	teşekkürler
cosa	şey
dos	iki
sin	-siz/-sız; olmadan
sobre	üzerinde; hakkında
alguno	bazı; herhangi biri
señor	bay; beyefendi
mirar	bakmak
hombre	adam; erkek
tiempo	zaman; hava
también	de/da; ayrıca
mismo	aynı; kendisi
necesitar	ihtiyaç duymak
casa	ev
llevar	taşımak; giymek; götürmek
tan	bu kadar; öylesine
entonces	o zaman; öyleyse
encontrar	bulmak
volver	geri dönmek; tekrar yapmak
llamar	aramak; çağırmak; adlandırmak
parecer	görünmek; gibi gelmek
nuevo	yeni
mejor	daha iyi; en iyi
primero	birinci; önce
verdad	gerçek; doğru
hasta	-e kadar
quién	kim
vida	hayat
nunca	asla; hiç
tomar	almak; içmek
quedar	kalmak; buluşmak
grande	büyük
llegar	varmak; gelmek
hola	merhaba
chico	çocuk; genç erkek; küçük
poner	koymak; giymek
oír	duymak
noche	gece
mí	ben/bana (edattan sonra)
hijo	oğul; çocuk
dónde	nerede
ni	ne... ne de
salir	çıkmak; ayrılmak
favor	iyilik; lütfen
gustar	hoşuna gitmek
seguir	takip etmek; devam etmek
amigo	arkadaş
oh	oh
siempre	her zaman
papá	baba
antes	önce
desde	-den beri; -den itibaren
conocer	tanımak; bilmek
poco	az
ahí	orada
alguien	birisi
trabajo	iş; çalışma
mujer	kadın; eş
entre	arasında
después	sonra
parte	parça; bölüm
mi	benim
acuerdo	anlaşma; fikir birliği
escuchar	dinlemek
momento	an; moment
matar	öldürmek
donde	-nen yer; nerede (vurgusuz)
seguro	güvenli; emin; sigorta
mundo	dünya
gente	insanlar
niño	çocuk
hora	saat
buscar	aramak
problema	sorun
lugar	yer
nadie	hiç kimse
tal	böyle; söz konusu
ayudar	yardım etmek
perder	kaybetmek
ustedes	sizler
persona	kişi
tipo	tip; tür; adam
claro	açık; elbette
entender	anlamak
menos	daha az; eksi
fuera	dışarıda; dışarı
acabar	bitirmek; sona ermek
tratar	çalışmak/denemek; davranmak; ele almak
tres	üç
último	son
trabajar	çalışmak
morir	ölmek
cada	her
dinero	para
mañana	sabah; yarın
hermano	erkek kardeş
quien	kim/kişi (vurgusuz)
vivir	yaşamak
valer	değerinde olmak; işe yaramak
allí	orada
hoy	bugün
luego	sonra
mano	el
tanto	bu kadar; o kadar
quizá	belki
caso	durum; vaka
nombre	isim
entrar	girmek
forma	şekil; biçim
empezar	başlamak
conseguir	elde etmek; başarmak
pedir	istemek; sipariş etmek
intentar	denemek
ninguno	hiçbiri
traer	getirmek
pequeño	küçük
buena	iyi (dişil)
importar	önemli olmak; ithal etmek
aún	hâlâ; henüz
cuenta	hesap; sayım
razón	neden; haklılık
preguntar	sormak
terminar	bitirmek
idea	fikir
único	tek; eşsiz
mal	kötü; yanlış
suponer	varsaymak
muerto	ölü
durante	boyunca
pasado	geçmiş; geçen
recordar	hatırlamak
semana	hafta
cierto	doğru; belli
contra	karşı
tarde	geç; öğleden sonra
segundo	ikinci; saniye
cambiar	değiştirmek
familia	aile
usar	kullanmak
policía	polis
comer	yemek
conmigo	benimle
sacar	çıkarmak; elde etmek
mientras	iken; süresince
mantener	korumak; sürdürmek
realmente	gerçekten
serio	ciddi
país	ülke
contar	saymak; anlatmak
minuto	dakika
mierda	bok; lanet olsun (argo)
olvidar	unutmak
propio	kendi; öz
pues	o halde; yani
e	ve (i/hi önünde)
aunque	her ne kadar; -se de
historia	tarih; hikâye
amor	aşk
lado	taraf; yan
junto	birlikte; bitişik
hacia	-e doğru
manera	şekil; yol
cabeza	baş
punto	nokta
mayor	daha büyük; en büyük
todavía	hâlâ
cualquiera	herhangi biri
casi	neredeyse
mes	ay
ciudad	şehir
importante	önemli
demasiado	fazla; aşırı
preocupar	endişelendirmek
ganar	kazanmak
cuánto	ne kadar
tío	amca/dayı; adam (günlük)
puerta	kapı
palabra	kelime
ojo	göz
agua	su
medio	yarım; orta; araç
dentro	içeride
abrir	açmak
jugar	oynamak
llamado	adlı; çağrılan
loco	deli
ocurrir	meydana gelmek
alto	yüksek; uzun; dur!
aquel	şu/o (uzak)
